text,label
"The property on Zhongxin Street, Qian'an County, Songyuan City, Jilin Province was not delivered for nearly ten years after its completion. Ordinary people have been unable to live in the property for many years and have defaulted on project payments. Developer Meng Ergang avoided handing over the property and used the house as a mortgage. Ordinary people have been asking for an explanation for many years. We went to the county government but still couldn't find a solution. We questioned the collusion between the county government and businessmen, and we hope to give ordinary people an explanation. How much ordinary people's hard-earned money bought this building, and some people died without getting it to live in!",0
No response without incitement?,0
"As long as there are people, there will always be problems. There is no absolute, only relative.",0
The lower classes in every dynasty have always been the leeks and the used toilet paper.,1
poor person must have something mean,0
"Single parents have a strong desire to control their children. It is easy for them to regard their children as their own property because they have paid too much. Especially when a single mother raises a son, she is likely to have a natural hostility towards her daughter-in-law, just like raising a fruit tree with great difficulty and then having the fruit picked by others.",1
Elitism is the biggest scam in this world,0
"If there is no marriage certificate, it is not domestic violence, right? Can intentional injury be dealt with together?",1
How to work if you are unable to work?,0
"If you make trouble again, I will control your weakness and smile without saying anything.]",0
"Those are not single people, there are many navy accounts",0
"It is not harmful and is purely a personal choice, just like some people must find a local hukou and do not want outsiders; some people care about talent, some prefer money, and some think appearance is more important than anything else.",0
"The dine-in food at Renri may be too good and you don't have to spend your own money. For the sake of everyone, I suggest that Renri open the dine-in food to the disadvantaged groups. Everyone will definitely give you 10 yuan per meal.",0
"Yes, I suspect that I saw some superficial things on my phone and thought that the world was as pure as she thought.",0
This is a question of two-way choice. There is no need to criticize other people's parents. This wave of remarks is indeed a bit excessive.,0
My parents have a good relationship. I want to divorce every day. My mother advises me that all crows are black.,0
"I think there is something wrong with the epidemic policy. Monkeypox is a very dangerous infectious disease, and people will seek medical treatment in time if they get it. However, under this epidemic policy, the attack power of the new coronavirus is actually getting weaker and weaker, and people will not want to seek medical treatment. They will conceal it if possible.",1
"The question is, are their poverty and suffering caused by themselves? Suffering itself is a reflection of social injustice. Things change over time. No matter whose family was not a powerful family hundreds of years ago, everyone will lose power (or grow old) one day.",3
Parents on both sides are a hurdle that cannot be overcome,1
"We don't know, anyway, they get paid every year",0
It is not easy to say no to what you say and to manage what you don’t say.],0
"I have no awareness at all, but I still expect others to do the same. It seems that I will not learn a lesson.",0
"In the past, people thought that children who grew up in single-parent families might be a little lacking psychologically, but in the future, there will be more and more children from single-parent families.",1
"Uncle, it's time to go to bed. I wish you a dreamless night.]",0
"Human instinct is self-interest. She is unwilling to leave, which means that staying here will bring more benefits than disadvantages to her. So let's save our breath.",1
Isn't it because the people around him are mocking and hurting him that the child is like this? What does it have to do with the family?,0
"If there is a family member taking care of the elderly person, would they know who it is without asking? The elderly person should be in a coma now, and the elderly person's information can probably only be obtained from the nursing home. The family members have no objection to this.",2
"Junior high school, you are so pathetic in guessing the whole thing.]",0
"This is just what I have seen. When parents and relatives are harmonious, children are usually confident and cheerful, optimistic and willing to face problems. Children from single parents are relatively sensitive and fragile. They need to be careful to protect their emotions. This is just what I have seen, not for everyone.)",1
"This money is just to ensure that you don't starve to death, don't even think about other aspects of life [laughcry]",0
"Here we go again. Next time you fall and no one comforts you, go to the United Nations and complain that humanitarian care is not enough.",0
"It's not that I can't accept it, it's discrimination, but what is there to discriminate against? Doraemon is afraid]",0
"I just want to cry, I can't stop crying, I think it's not easy for my brother, but he still works hard to live. There are many kind people, everyone is working hard to live, and they are loving.",0
6. The favorite method to deal with women is to spread dirty rumors,0
"One time, I was walking in front, and a thief tried to grab my bag from behind. A merchant on the roadside was watching. I felt like I couldn't move anymore, and when I looked back, I was so scared that I hit him with my arm. The kid walked away, and the merchant even said something sarcastic, saying that I only dared to hit him because he was a kid.",0
"Polygamy, having children out of wedlock, etc., run away quickly.",0
"I chose to save people without hesitation, just because I ""sympathize with people. They are not cold-blooded animals. Some are good and some are evil. The goodness of human nature is the reason why we help them! It is just a purely self-touching behavior without any consideration or thought.",1
Is there any difference from open robbery?,0
"It is illegal to ask for wages by law. If everyone is arrested, no one will ask for wages.",0
"My mother-in-law is my teacher. The teacher's family has a very good relationship, and they are harmonious and relaxed. She likes to joke around. The teacher told us that once her wife joked with her that it was too hard to make a living under her and she wanted to rebel! The son-in-law heard it and went into the room and got angry with her daughter, saying that her parents didn't respect her. Because I also made a living under her.",0
"Yes, no investigation, no right to speak",0
"Many years ago, one of the suggestions a mother gave to her daughter when choosing a spouse was not to look for a boy from a single-parent family, especially one without a father.",1
"You can proactively consult the Disabled Persons' Federation to ask if there are any related companies in need. It depends on the economic development of your local area. If there are no good companies at all or the number of disabled people is greater than the number needed, then there is nothing you can do.",1
"No, this is a problem of the propaganda department. These propaganda have different calibers. If you don't occupy the battlefield of public opinion, the enemy will. If the right ones don't occupy, the wrong ones will.",0
"To be honest, it's not just your single-parent family that looks down on you. There are too many things that look down on you. But I'm going to tell you one thing that you absolutely cannot change. I'm going to make you give up. Selling a bowl of soy milk for 10,000 yuan. The purpose is not to make money. It's to persuade people to give up.",3
"Yes, most of the people I have met are like this, and if their parents are divorced and have formed their own families, it is really a mess. I have a friend who is like this. Her parents can't rely on anyone and they quarrel with her every day and ask her for money. She cried in front of me many times. Fortunately, her in-laws are very nice and love her very much.",0
"My parents grew up in an environment that was similar to that of a divorced couple. Their grandparents all lived separately, but my parents had a good relationship.",0
"I think hardware refers to height and appearance, while family background and education are software.",0
Let the Shandong police send police to detain him for 15 days. Let him spend the New Year in the cell.,3
It is the negligence of some people that such people do not have a minimum living allowance,0
"What you said is not true. My relatives in the countryside have pension and medical care, and they don't give gifts to anyone, let alone those who are sick!",0
"The staffing of state-owned enterprises and public institutions is different for civil servants and teachers. State-owned enterprises are the same as private enterprises. Because state-owned enterprises have closed down, disadvantaged groups have lost their jobs. Teachers, civil servants and public institutions are sad.]",0
"Don't just say that you had problems with the vaccine, because you are a minority, unless many people around you have the same situation as you. In Hong Kong, almost everyone gets three shots, and your relatives and friends are fine after getting vaccinated. If you have been infected, you are Yang Kang. Of course, there are dozens of deaths every day.",3
Maybe a euphemism for techno-authoritarianism/totalitarianism? Maybe,0
The most disgusting thing is that some people call war-style buildings Syrian style.],0
"It's hard to say for single-parent children, but if both parents are married, the relationship will probably be difficult.",1
"The school doesn't. My best friend was from a single-parent family. There were six of us, and three girls were from single-parent families. They were all normal in school.",0
"If the hospital is wrong, the family members are not at fault? It’s like an electric car that is hit. If the person is wearing a helmet, he won’t die, but he didn’t wear it and then died. Do you think he deserved it? Others can compensate him, but can he be resurrected?",0
He is getting further and further away from the masses and his speech is becoming more and more frivolous.,0
"Yeah, I don't understand why the comments blame the child, he didn't save money to buy a video game console.",1
"My loss is close to 10,000 yuan. Even if the thief is not punished, at least I can get my loss back if I catch him. I don't want to punish the thief, I just want to get my loss back. But after so many years, I still haven't got my loss back. The police take the taxes paid by the people, but they don't do anything for the people. Is it only when someone dies that it counts as a problem?",0
"Save, just because he is human.",1
Crack down on malicious wage demands and restore a fair and law-based society,0
"I'll buy all of it, and boil the rest to drink.",0
"Indeed, everyone has their own requirements. If you can coordinate, coordinate. If you can't coordinate, change one. It's disgusting to curse other people's parents like this.",0
"Curse the government for not providing minimum living allowance, and immediately stop providing social security and provide minimum living allowance doge]",0
"Oh my god~ Are they in the same group? They didn't even warn me when they saw it. This is too much. My phone was also stolen in the market. I called the police but they didn't come to the scene in time. There were surveillance cameras everywhere but they didn't check them. I called the police thinking there would be a little hope, but they didn't expect the police to care about you. They just filed a case and said to wait for notification in a week. When I called to ask about the progress, their attitude was very bad and they said they would notify me if there was any situation. Now the police really just eat the country's food and don't care about the country's citizens.",0
"Unfortunately, humans know more about black lines than animals.]",0
But many of my poor households do receive minimum living allowances.,0
"There is video, but the police are still not taking action",0
"My best friend also told me not to date the children of people who were born in single families and never remarried. Her ex-husband was like that. When they were married, whenever she had any problems with her mother-in-law, her husband would say, ""His mother has given too much and her mother has worked so hard.""",1
The divorce rate is already very high.,0
Are all the minimum living allowances eaten up by people with connections?,0
"Well, anonymous is not a priority, which means that I won’t even return your call (laugh cry)",0
Just report it to the police and say that I am protecting the unpaid wages.,0
"She is just too lazy. She can't live without her husband, so she uses the child as an excuse.",0
What kind of outrageous news is this?,0
My grandparents have already received their fourth shot.,0
The minimum living allowance is for low-income families with no income and no ability to work.,0
"Who told them not to rent out their idle houses as the experts suggested, and then use their idle vehicles to run Didi, and have to suffer so much?",0
I'm dying of laughter. Do you want to look at what you are saying?,0
"Don't stay in the alley all the time, go to the countryside and take a look.",0
"It is better to distribute money to everyone, which can reduce corruption. If the digital RMB is issued publicly, everyone will know how much money they have received.",1
"Open a case? You think too much. It's impossible. In the end, we have to check the case clearance rate. Who would lower their performance if they don't do it?",3
"We're not married, so what's wrong with a few beatings?]",3
Isn't it freedom of marriage and love? It's normal for others not to accept it.,3
"If you give them a little more money, maybe you can even play hide-and-seek with the migrant workers.",0
Single mother? Dad must have passed away.,0
The police have a rule that you cannot get involved in economic and property disputes. They will only let you go to court. They will not care about those who borrow money and don't pay it back. The cost of defending rights is high everywhere. This system has caused a large number of social conflicts.,1
There are tens of millions of people who are owed wages. Has the government ever intervened?,0
"Maybe mental and intellectual problems are not in the scope, because what I understand is that there are physical problems.",0
"This problem has always existed, but no one is willing to comment on it. Think about why.",2
"Have a nice journey, and I'll give you 700,000?",0
"You owe me money, so I'll just chop you off.",0
"Why are you asking when you know the answer? Don’t you know how to read the comments? If you don’t know how to read, why are you pretending to be innocent?]",0
"It's already like this, you just complain now and it won't solve the problem. If the man earns little and doesn't give you any money, he lives a carefree life and doesn't care about you or the children, and is always angry that you are not even worthy of being a tool, then you can divorce him if you have a job and can support the children. If you don't earn money, divorce him and you can't even support the children, then you have to make do with it. There is no other way, you can only find a way to earn money and work hard, don't count on men, and don't expect to get a good man as a meal ticket after divorce.",3
"No, bullies are bullying you no matter if you are a single parent or not, and they usually bully those who are honest and don’t resist.",1
"Apart from anything else, I really want to try this lunch box! Where can I find it?",0
Why are we still letting this kind of media live? Why aren't we going to overthrow the leadership behind him?,0
"It is impossible to refute them with this line of thought, because from a utilitarian point of view they are indeed right. We do not do this because we have emotions and humanity!",1
"My high school classmate, who received a scholarship, had a mother who wore a mink coat.",0
"Where in the world does malicious wage demands come from? If there are any, it is also malicious wage arrears.",1
"You are right, but as ordinary people, we will definitely speak up for our colleagues and try to reduce the occurrence of such wage arrears as long as we know the truth of the matter.",0
"I was so scared. Fortunately, I come from a single-parent family and don't have this problem.",0
"Yes, try to be good as much as possible. There is nothing you can do as a single parent.",1
XBB's vaccine won't be very effective.,0
Do you know what discrimination is? It's sad.,0
Save him because he is a human being first.,1
"It is better to say that the ""usefulness"" we recognize is the deep source of humanism. It is because we recognize this little bit of usefulness that we recognize that everyone has his or her unique value.",0
"Pass it on, Dongya, a single-parent family, you should take it upon yourself to curse your parents and provoke me, I will block you, rainbow fart",0
"You let me look at others, and then look at myself, right? I’m so annoyed by your victory.]",0
"You don't really think that Inner Mongolia is so poor that it can't afford to eat, do you? When someone talks to you about comparing the Engel coefficient between countries, you are here to switch concepts and compare provinces and cities. Is that how you compare? The data I gave is calculated based on the proportion of food expenditure to total income, while the Engel coefficient is usually calculated based on the proportion of food expenditure to total consumption. That is the calculation method you used to say that Guangzhou is higher than Inner Mongolia.",0
"When the West criticizes the conservative Islamic religion in the Middle East, should they think about who overthrew the secular regimes in the Middle East?",2
You must know the difference between civil and criminal matters! Don't just talk nonsense.,0
Why are there disadvantaged groups that don't care about the development of the motherland? Isn't this just rubbing salt into the motherland's wounds?,3
"I really want to help him. It makes me sad to see this, but I can't help.",0
"Dear influential blogger, do you think this is a legitimate wage claim? And I can say that I have worked in various companies, and 10 out of 10 ""wage claims"" I have encountered are of this type.",0
Several disabled people in my hometown village have received minimum living allowances. Does this mean that the village cadres are pretty good?,0
"It's not strange that he was cremated without seeing it, but it's strange that he saw it but didn't recognize it.]",1
I feel very grateful to have an income.],0
"If I had the minimum living allowance, I probably wouldn’t be able to sell goods.",0
"The minimum living allowance is for households, not individuals. As long as they have not been separated from their parents and are still in the same household registration book, the average family income must be taken into account.",1
I didn't have so many thoughts. I saved him just because of morality that I couldn't watch a person die in front of me.,1
Is it possible that you have problems in a two-parent family but you don't blame them on your parents?,0
"The purpose of marriage is to establish a family together, which is happier! What else can a parasite, a blood-sucking family do! How long ago did Ram's encounter happen! Less than a hundred years after the May Fourth Movement, many people have forgotten about the freedom of love! If I didn't know, I would have thought it was a feudal society! Is it true that women marry you to be slaves?",0
"There is still an impact. I feel that I feel insecure in my relationship. In fact, it is still the couple's problem and has nothing to do with the parents. The first single parent I met was from a wealthy family. Before the relationship, I felt that he was very well-educated and polite, but after the relationship, I felt insecure and it affected the normal relationship. So I think the comments that everyone has psychological problems are correct, but single parents focus on the relationship between men and women.",1
Don't change the concept here. It's their business if other people report being retaliated. We in the civil affairs industry have people working overtime at 2 a.m. to deal with a petition or a letter of complaint. I don't think it's appropriate to use the sword of the previous dynasty to kill the officials of this dynasty at the beginning of the school year.,0
Tears flowed involuntarily.,0
"It is stable, but under unfavorable factors, income may decrease, so life will be more difficult. However, if this really happens, it will be even more difficult to survive outside the system.",0
We are all trying to live! Come on!,0
"The computer is completely confused. When the programmer designed the household registration program, he didn't write the code to revive the account after it was cancelled.]",0
This world is so cold,3
I really can't bear to see this kind of thing. It's too painful.,0
"No, basically no one would know if I didn't tell you.",0
I can only be careful myself. I am now extra careful when I go out. The police are no longer reliable.,0
"Dingding, the people at the bottom are suffering the most?",2
"To receive the minimum living allowance, one must be a relative of a village official.",0
"If you want to hide it, you must do it in a way that is watertight. If a child finds out, he or she will feel strongly deceived and betrayed by his or her parents.",1
Just look at the avatar to see the basic characteristics of a boy,0
"If he is not considered a person in need, then what kind of people do you think are considered to be people in need? If 100 yuan is your entire income, do you think you can survive on 100 yuan a month? My father has us, but what if other disabled people have no one to take care of them?",3
"The family members lifted the curtain to confirm it themselves, so do they have no responsibility? How dare you blame others when your own family members admit their mistakes?",0
"""""""""""""""Why do you need a reason? If you want to, just save him.""""""",3
"This is definitely not a problem with a single product. Even if his parents were not divorced, he would still say this; even if his mother remarried, he would still say this. The key is that his thinking determines that he will definitely say this.",3
"It is natural to pay back debts, but some people can do whatever they want by relying on their power. What is wrong with this world? I don't want such news to appear again. Let's jointly uphold the dignity of the law.",1
"It’s not so bad in the city, but in the towns and villages everyone is an acquaintance, so don’t even think about confiscating it, as people will call out your nickname when you get to the scene.]",0
"The government should strictly investigate those who receive the minimum living allowance. I know that several people from well-off families are receiving the minimum living allowance. Even those with a monthly income of over 10,000 yuan are also receiving the minimum living allowance. It’s such a rip-off…",0
"The reason I was able to save it/I was able to survive to a certain extent was because I was lucky. It has nothing to do with whether I am useful or not, so I don’t consider whether I am useful or not.",0
"Please leave some room for them, it’s so heartbreaking and sad]",0
"But as I watched, I realized that there were many friends around me who had suffered from being guided. Now when I think back, I am very grateful to my parents.]",0
"Logically speaking, in this kind of two-way choice, if the other party does not accept single-parent families, there is no reason to curse. Even if the other party's parents say it directly without any reason, but they just don't like you, there is nothing you can say. There is no need to curse or curse.",1
"In fact, there are still many divorces among those whose original families are not divorced families. The divorce rate is too high. It’s so sad.]",1
How can I tell that my mother is heartbroken? I see her wearing beautiful makeup and speaking with a clip,0
"If you encounter this problem, you attribute it to single parenthood. If people in two-parent families have the same problem, you attribute it to other reasons.",0
"It's amazing, Liaoning has become so wealthy that everyone can receive the minimum living allowance, and those who receive the minimum living allowance have cars and houses at home (hahaha)",0
"I want to say that I see a lot of women posting videos with their mothers wearing delicate makeup. In fact, women, whether married or not, should take good care of themselves. I remember when I was very young, my mother taught me that no matter how busy I was, I should take care of the house and the outside world, and my clothes should be clean and tidy. I should also dress myself up with simple and delicate makeup. I grew up watching my mother put on makeup, but it did not affect my mother's hard work. This is the difference between people. Makeup is a basic etiquette for yourself and others.",0
"In fact, single-parent families are not just about social prejudice. The key is whether single parents will place the needs of their other half on their children. This will directly lead to whether the children will have psychological problems because they have assumed roles that are not theirs. Of course, children from non-single-parent families will also have psychological problems because they over-assume roles that are not theirs.",1
You're talking about affordable housing. You think the minimum living allowance is a burden to you.,0
It’s really not easy. I hope the urban management will treat him well.,0
"I have been following Dongya for a long time. Dongya's move is to not keep his mouth shut. Marriage is a two-way choice. If the other party's family does not accept it, then just change families. Let the other party's parents go first. Why don't you say that your parents will go first? Even if you criticize me, I don't care. After all, I am not the one who doesn't keep my mouth shut. Smile]",0
Maybe she is not able to take the child away,0
"Rest in peace, the living always have a way to live. The New Year's money is given to children by others. The children did not spend it carelessly, it is so nice to have such a thoughtful thought. People have feelings. I want to buy a cemetery for my father, so I can go and see it when I have time. There is also a place to miss him. Poor child, he has lost his father. Mom has limited ability. It is not easy to be a single mother. I hope they will have a better life in the future. Mom is still young and can find another one.",0
This autumn dress looks like it would be nice to wear.,0
Yours is the real minimum living allowance. Do you know how many fake minimum living allowances there are? There are also many places for minimum living allowance that are directly given to fake minimum living allowances.],0
"Now let's not look at the problem of Americans' over-consumption and Chinese savings rate. Also, in 21 years, it is 54.7 cute]",0
Where in Shenyang? I can buy it when I have time during the holidays.,0
What is big data networking? Are you still a student? The world today is not what you see on your phone.,0
Can’t the family members recognize him either?,3
"But the student sitting behind me in high school skipped school because of conflicts with his parents, and a girl even jumped off a building. There are also students from single-parent families in college, but most of us don’t care whether he is from a single-parent family or not, and he has participated in many volunteer activities.",0
"There have been examples of success and failure, and indeed a couple formed but eventually divorced. It's so sad.]",1
"Migrant worker: I don’t know which floor, which department, which office, who should be in charge? The receptionist: This is neither my responsibility nor yours. Either hand it over to someone in the institute. Everyone applauds. Good idea.",2
Clearly selective enforcement,0
"The only thing I can do now is to not have a next generation, so that my children will not lose at the starting line, and I and the next generation will bear a heavy historical and psychological burden. I think this is also great love, and it is also responsible for myself and the next generation.",0
Alas! Poor child!,0
"Now women are favored over men, right?",0
"Wow, you must have seen evidence to be so sure.",0
"Let's look at another more obvious data, the resident consumption rate. The proportion of residents' personal consumption and social consumption to total national expenditure. The higher the number, the stronger the willingness of residents to consume. The US figure in 2020 was 88, while China's figure in the same year was 39. This means that a large part of China's expenditure is still invested in production, and residents' consumption capacity and willingness have not yet been liberated.",0
"There are also semi-left-behind children, who are the same as single-parent children.",0
"Mumu, don't pay attention to them. They were the ones who persuaded the separation and they were the ones who said that single parents have problems.]",0
You can argue over this one word? Xinhua Dictionary asked you to edit the dictionary. I'm afraid you will have to delete all these words. Your unreasonable behavior is a nitpicker.,0
"Be kind and face life positively. Oh, I hope I can have a better New Year and get the minimum living allowance and disability subsidy.",1
"The difficulty lies here. Why does a dragon give birth to a dragon and a phoenix give birth to a phoenix, but a mouse's son will",1
"There's no such problem with marriage and having children, right?",0
"Netizens will be very satisfied with the final result. After unremitting efforts of our community and in response to the requests of the majority of netizens, after going through untold hardships, we finally stopped social security and started using minimum living security. This is an inspiring moment and a victory for great netizens. Let us remember these netizens. [doge]",0
"The owner's general contractor management is not strict, and the subcontractors pick and choose cheap ones. It looks cheap no matter which style it is.",0
"The country is the people, and the people are the country.",0
I think the reply is very refreshing and on point. When did being a single parent become a person's shortcoming? It's not up to him to decide.,1
"If they don’t accept you, you scold them? Does that mean that if they don’t accept you, you scold them, they can scold you too?",0
"Prosperity, democracy, civilization, harmony, freedom, equality, justice, rule of law, patriotism, dedication, honesty,",0
"This is why I don’t like to post comments. You can’t see such a long premise, right? [Bow]",0
"You are indeed a double-crosser. Reporting requires evidence, and to put it bluntly, it has nothing to do with his interests. Why does he bother so much?",3
"His panicked look was really heartbreaking, as if he had seen a demon. The urban management only brought panic and fear to the lower-class people.",1
"I have a relative whose daughter was born with hemiplegia and is in a wheelchair. She got married a few years ago and her partner is also disabled. They had a good relationship, but unfortunately he passed away a few years later. Now she is a believer in religion. When people are sick, they may believe in some religions to comfort themselves.",0
"Any foreigner, doge]",0
"Or maybe this is the problem. The leaders themselves fight against imported products, but want to convince ordinary people to fight against domestic products. It is understandable that it is not going smoothly.",0
"The perspective of power actually needs to consider whose power it is. When we look at nature, for example, there is a food chain, which is actually useful, right? The usefulness of us humans is too narrow.",0
"I totally understand you. Compared to the lost items, the police’s attitude is more chilling.",0
Liu Xin is too naive and puts herself in danger. Don’t mess with such a complicated family from the beginning.],3
"What major did you study and what job do you do? How much do you know about the COVID-19 vaccine? Professional opinions should be targeted and answered in a targeted manner instead of being so arbitrary, right? Sorry, I can't see your professionalism at all.",0
"Moreover, those who receive subsistence allowances are almost all related to the government. Will you be responsible if something happens?",0
"Let's look at the expenditure amount. China's food is 1113, housing is 874, transportation and communication is 489, and education and culture is 403. The United States' housing is 9427, transportation is 4567, food is 3827, and medical care is 2593. They are not even on the same level.",0
"Is it discrimination if you are unwilling to accept it? Marriage is supposed to be a two-way thing, so why are people not allowed to have preferences? Also, because you cannot accept the other person being a single parent, you curse the other person to have one parent die. Isn't that too vicious?",0
"First, disband the department that issued the notice.",2
"But citizens pay taxes, and a considerable portion of the money is used to supplement police and financial resources. Sometimes it’s really just that the police are lazy and don’t have the quota by the end of the year. I’m dumbfounded]",0
"Oh, if you have some ability, leave now.",1
"So, will the world get better? This country was fighting corruption before I was born, and people have been asking for their salaries since I was old enough to understand. Movie stars come to power one after another, but the problem has never been solved.",0
"Having a business license has nothing to do with him setting up a street stall. The urban management is chasing the stalls, not checking the license.",1
May the Bible bring him strength],0
"It's not because of single parents, it's because of the upbringing, lack of love and warmth. Whether single or not, he is sensitive, closed, and defensive.",3
"If it could make the news, the case would be solved for you in minutes.",0
A family with an unhappy marriage is worse than a single-parent family. Mutual harm is the most harmful to children.,1
"The hospital has its fault, but the body has been taken back by the family, so that doesn’t mean the family is wrong?",0
Is it possible to change them all to a contract system? Qianqian is not that stable?,1
These people are working with ordinary people and now they want money? Do you want money or life?,0
Look how many disabled people they have created in Afghanistan?,0
